ProductID;Code;Name product;Unit;Price;Supplier;Rroducer;Category;Discount;Quantity;Description;Photo
1;А112Т4;Ботинки;шт.;4990;Kari;Kari;Женская обувь;3;6;Женские Ботинки демисезонные kari;1.jpg
2;F635R4;Ботинки;шт.;3244;Обувь для вас;Marco Tozzi;Женская обувь;2;13;Ботинки Marco Tozzi женские демисезонные, размер 39, цвет бежевый;2.jpg
3;H782T5;Туфли;шт.;4499;Kari;Kari;Мужская обувь;4;5;Туфли kari мужские классика MYZ21AW-450A, размер 43, цвет: черный;3.jpg
4;G783F5;Ботинки;шт.;5900;Kari;Рос;Мужская обувь;2;8;Мужские ботинки Рос-Обувь кожаные с натуральным мехом;4.jpg
5;J384T6;Ботинки;шт.;3800;Обувь для вас;Rieker;Мужская обувь;2;16;B3430/14 Полуботинки мужские Rieker;5.jpg
6;D572U8;Кроссовки;шт.;4100;Обувь для вас;Рос;Мужская обувь;3;6;129615-4 Кроссовки мужские;6.jpg
7;F572H7;Туфли;шт.;2700;Kari;Marco Tozzi;Женская обувь;2;14;Туфли Marco Tozzi женские летние, размер 39, цвет черный;7.jpg
8;D329H3;Полуботинки;шт.;1890;Обувь для вас;Alessio Nesca;Женская обувь;4;4;Полуботинки Alessio Nesca женские 3-30797-47, размер 37, цвет: бордовый;8.jpg
9;B320R5;Туфли;шт.;4300;Kari;Rieker;Женская обувь;2;6;Туфли Rieker женские демисезонные, размер 41, цвет коричневый;9.jpg
10;G432E4;Туфли;шт.;2800;Kari;Kari;Женская обувь;3;15;Туфли kari женские TR-YR-413017, размер 37, цвет: черный;10.jpg
11;S213E3;Полуботинки;шт.;2156;Обувь для вас;CROSBY;Мужская обувь;3;6;407700/01-01 Полуботинки мужские CROSBY;picture.png
12;E482R4;Полуботинки;шт.;1800;Kari;Kari;Женская обувь;2;14;Полуботинки kari женские MYZ20S-149, размер 41, цвет: черный;picture.png
13;S634B5;Кеды;шт.;5500;Обувь для вас;CROSBY;Мужская обувь;3;0;Кеды Caprice мужские демисезонные, размер 42, цвет черный;picture.png
14;K345R4;Полуботинки;шт.;2100;Обувь для вас;CROSBY;Мужская обувь;2;3;407700/01-02 Полуботинки мужские CROSBY;picture.png
15;O754F4;Туфли;шт.;5400;Обувь для вас;Rieker;Женская обувь;4;18;Туфли женские демисезонные Rieker артикул 55073-68/37;picture.png
16;G531F4;Ботинки;шт.;6600;Kari;Kari;Женская обувь;12;9;Ботинки женские зимние ROMER арт. 893167-01 Черный;picture.png
17;J542F5;Тапочки;шт.;500;Kari;Kari;Мужская обувь;13;0;Тапочки мужские Арт.70701-55-67син р.41;picture.png
18;B431R5;Ботинки;шт.;2700;Обувь для вас;Rieker;Мужская обувь;2;5;Мужские кожаные ботинки/мужские ботинки;picture.png
19;P764G4;Туфли;шт.;6800;Kari;CROSBY;Женская обувь;15;15;Туфли женские, ARGO, размер 38;picture.png
20;C436G5;Ботинки;шт.;10200;Kari;Alessio Nesca;Женская обувь;15;9;Ботинки женские, ARGO, размер 40;picture.png
21;F427R5;Ботинки;шт.;11800;Обувь для вас;Rieker;Женская обувь;15;11;Ботинки на молнии с декоративной пряжкой FRAU;picture.png
22;N457T5;Полуботинки;шт.;4600;Kari;CROSBY;Женская обувь;3;13;Полуботинки Ботинки черные зимние, мех;picture.png
23;D364R4;Туфли;шт.;12400;Kari;Kari;Женская обувь;16;5;Туфли Luiza Belly женские Kate-lazo черные из натуральной замши;picture.png
24;S326R5;Тапочки;шт.;9900;Обувь для вас;CROSBY;Мужская обувь;17;15;"Мужские кожаные тапочки ""Профиль С.Дали"" ";picture.png
25;L754R4;Полуботинки;шт.;1700;Kari;Kari;Женская обувь;2;7;Полуботинки kari женские WB2020SS-26, размер 38, цвет: черный;picture.png
26;M542T5;Кроссовки;шт.;2800;Обувь для вас;Rieker;Мужская обувь;18;3;Кроссовки мужские TOFA;picture.png
27;D268G5;Туфли;шт.;4399;Обувь для вас;Rieker;Женская обувь;3;12;Туфли Rieker женские демисезонные, размер 36, цвет коричневый;picture.png
28;T324F5;Сапоги;шт.;4699;Kari;CROSBY;Женская обувь;2;5;Сапоги замша Цвет: синий;picture.png
29;K358H6;Тапочки;шт.;599;Kari;Rieker;Мужская обувь;20;2;Тапочки мужские син р.41;picture.png
30;H535R5;Ботинки;шт.;2300;Обувь для вас;Rieker;Женская обувь;2;7;Женские Ботинки демисезонные;picture.png

